path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough
/mnt/spirit-8tb/media/tempTwitter/Brian Allen - 🚨 BREAKING： Rep. Ted Lieu says the full Epstein files contain informa... [2028542197713252354].mp4,Brian Allen - 🚨 BREAKING： Rep. Ted Lieu says the full Epstein files contain informa... [2028542197713252354].mp4,.mp4,9250338,2026-06-21T03:02:20.564Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/CUNT.BUNNie🎀 - 😜 [2004007835118772224].mp4,CUNT.BUNNie🎀 - 😜 [2004007835118772224].mp4,.mp4,71423688,2026-06-21T03:01:39.756Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Cum All Over - https：⧸⧸t.co⧸rduPxyLxOK [1785483955548164096].mp4,Cum All Over - https：⧸⧸t.co⧸rduPxyLxOK [1785483955548164096].mp4,.mp4,24179957,2026-06-21T03:02:58.202Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Cum Bunny - https：⧸⧸t.co⧸8Cp0rPV2qb [2004785411218968576].mp4,Cum Bunny - https：⧸⧸t.co⧸8Cp0rPV2qb [2004785411218968576].mp4,.mp4,6516158,2026-06-21T03:03:21.598Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Cum Bunny - https：⧸⧸t.co⧸VEOBrvMjhi [2005643254641917952].mp4,Cum Bunny - https：⧸⧸t.co⧸VEOBrvMjhi [2005643254641917952].mp4,.mp4,2278638,2026-06-21T03:02:37.000Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/CumLoveQueen🪽 - https：⧸⧸t.co⧸2W4ESabaQb [1970713857396994048].mp4,CumLoveQueen🪽 - https：⧸⧸t.co⧸2W4ESabaQb [1970713857396994048].mp4,.mp4,1359925,2026-06-21T03:04:26.736Z,yes,no,no
"/mnt/spirit-8tb/media/tempTwitter/GoonYourBrain - When your daughter says she’s “can’t stop, won’t stop” but you wish s... [2005739606273032192].mp4","GoonYourBrain - When your daughter says she’s “can’t stop, won’t stop” but you wish s... [2005739606273032192].mp4",.mp4,13168155,2026-06-21T03:02:33.254Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/He 𓆈 21+ - Blowjob Finish Compilation 🌬️ [2027053046325469184].fhls-1209.mp4,He 𓆈 21+ - Blowjob Finish Compilation 🌬️ [2027053046325469184].fhls-1209.mp4,.mp4,107255694,2026-06-21T03:05:42.856Z,no,yes,no
/mnt/spirit-8tb/media/tempTwitter/He 𓆈 21+ - Blowjob Finish Compilation 🌬️ [2027053046325469184].fhls-audio-128000-Audio.mp4.part,He 𓆈 21+ - Blowjob Finish Compilation 🌬️ [2027053046325469184].fhls-audio-128000-Audio.mp4.part,.part,12259775,2026-06-21T03:06:07.498Z,no,yes,no
/mnt/spirit-8tb/media/tempTwitter/He 𓆈 21+ - Blowjob Finish Compilation 🌬️ [2027053046325469184].fhls-audio-128000-Audio.mp4.part-Frag254,He 𓆈 21+ - Blowjob Finish Compilation 🌬️ [2027053046325469184].fhls-audio-128000-Audio.mp4.part-Frag254,.part-frag254,48541,2026-06-21T03:06:07.558Z,no,yes,no
/mnt/spirit-8tb/media/tempTwitter/He 𓆈 21+ - Blowjob Finish Compilation 🌬️ [2027053046325469184].fhls-audio-128000-Audio.mp4.ytdl,He 𓆈 21+ - Blowjob Finish Compilation 🌬️ [2027053046325469184].fhls-audio-128000-Audio.mp4.ytdl,.ytdl,71,2026-06-21T03:06:07.504Z,no,yes,no
/mnt/spirit-8tb/media/tempTwitter/He 𓆈 21+ - Continuous Cumming &amp; Fucking with @CedehPH [2012819844681351168].mp4,He 𓆈 21+ - Continuous Cumming &amp; Fucking with @CedehPH [2012819844681351168].mp4,.mp4,22695034,2026-06-21T03:04:20.570Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/He 𓆈 21+ - Really？ 10 seconds was all he could last？! 😅 [2008325864195584001].mp4,He 𓆈 21+ - Really？ 10 seconds was all he could last？! 😅 [2008325864195584001].mp4,.mp4,4286243,2026-06-21T03:05:08.761Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/Kream - Can’t hide it… wouldn’t try 😏  #TripleD #SoftBounce #NaturalCurves #B... [2026401738790678530].mp4,Kream - Can’t hide it… wouldn’t try 😏  #TripleD #SoftBounce #NaturalCurves #B... [2026401738790678530].mp4,.mp4,1796088,2026-06-21T03:04:28.205Z,yes,no,no
"/mnt/spirit-8tb/media/tempTwitter/NSFWPornstars - The Most Perfect BJ &amp; Swallow you’ll see today 😈  Slow, sloppy, d... [2026565219053379584].mp4","NSFWPornstars - The Most Perfect BJ &amp; Swallow you’ll see today 😈  Slow, sloppy, d... [2026565219053379584].mp4",.mp4,126543235,2026-06-21T03:03:52.268Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Rita 🍓 - such a great pair [2028224068877701120].mp4,Rita 🍓 - such a great pair [2028224068877701120].mp4,.mp4,4620347,2026-06-21T03:02:39.604Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/T!ts - https：⧸⧸t.co⧸XUmR7ZqY7F [1996128216981860352].mp4,T!ts - https：⧸⧸t.co⧸XUmR7ZqY7F [1996128216981860352].mp4,.mp4,17899606,2026-06-21T03:02:28.311Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Tapped raw - https：⧸⧸t.co⧸QM69CboUD8 [2009327527152492544].mp4,Tapped raw - https：⧸⧸t.co⧸QM69CboUD8 [2009327527152492544].mp4,.mp4,70887445,2026-06-21T03:04:48.964Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes
/mnt/spirit-8tb/media/tempTwitter/sexxual - the kind of distraction i need in a relationship 😍 [2028616414395846656].mp4,sexxual - the kind of distraction i need in a relationship 😍 [2028616414395846656].mp4,.mp4,3285426,2026-06-21T03:02:13.775Z,yes,no,yes
