path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough,reason
/mnt/spirit-8tb/media/tempTwitter/MissAV（精剪版） - Chudai @LanVdai778  @hongxiutian @kongguyoul @chenyuluoy @xiaomidare [2038486183005884417].fhls-1095.mp4.part,MissAV（精剪版） - Chudai @LanVdai778  @hongxiutian @kongguyoul @chenyuluoy @xiaomidare [2038486183005884417].fhls-1095.mp4.part,.part,903524992,2026-06-21T02:17:52.610Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/MissAV（精剪版） - Chudai @LanVdai778  @hongxiutian @kongguyoul @chenyuluoy @xiaomidare [2038486183005884417].fhls-1095.mp4.ytdl,MissAV（精剪版） - Chudai @LanVdai778  @hongxiutian @kongguyoul @chenyuluoy @xiaomidare [2038486183005884417].fhls-1095.mp4.ytdl,.ytdl,72,2026-06-21T02:17:52.616Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes,unsupported input
