path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough,reason
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes,unsupported input
/mnt/spirit-8tb/media/tempTwitter/telishamareeASMR - Ear noms 😘  #asmr #earlicking [2048982438953746432].fhls-1013.mp4,telishamareeASMR - Ear noms 😘  #asmr #earlicking [2048982438953746432].fhls-1013.mp4,.mp4,118934126,2026-06-21T01:54:22.208Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/telishamareeASMR - Ear noms 😘  #asmr #earlicking [2048982438953746432].fhls-audio-128000-Audio.mp4.part,telishamareeASMR - Ear noms 😘  #asmr #earlicking [2048982438953746432].fhls-audio-128000-Audio.mp4.part,.part,11005256,2026-06-21T01:55:18.594Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/telishamareeASMR - Ear noms 😘  #asmr #earlicking [2048982438953746432].fhls-audio-128000-Audio.mp4.ytdl,telishamareeASMR - Ear noms 😘  #asmr #earlicking [2048982438953746432].fhls-audio-128000-Audio.mp4.ytdl,.ytdl,71,2026-06-21T01:55:18.604Z,no,yes,no,incomplete/temp file
