key,source_path,output_path,receipt_path,status,profile,profile_kind,encoder,worker_host,source_size,output_size,percent_saved,input_duration,output_duration,duration_delta,output_container,output_video_codec,output_audio_codec,output_width,output_height,output_has_video,output_has_audio
phase7-proof-sava-14,/mnt/spirit-8tb/media/yes/models/sava-schultz/Savaschultz savaschulz savashultz Exclusive Leaked Nude OnlyFans(14).mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-proof-sava-14.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-proof-sava-14.json,ok,remux-faststart-only,remux,remux,spirit-mac-mini,645614,645603,0,4.766667,4.766667,0.0,"mov,mp4,m4a,3gp,3g2,mj2",h264,,720,900,True,False
phase7-candidate-02,/mnt/spirit-8tb/media/yes/Devorah Roloff Nude Leaked OnlyFans Video 25 - Ibradome.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-02.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-02.json,ok,mobile-720p,transcode,h264_videotoolbox,spirit-mac-mini,667873,2322788,-247.79,6.84,6.840167,0.000167,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,388,720,True,True
phase7-candidate-03,/mnt/spirit-8tb/media/yes/Devorah Roloff Nude Leaked OnlyFans Video 36 - Ibradome.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-03.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-03.json,ok,mobile-720p,transcode,h264_videotoolbox,spirit-mac-mini,3562968,7470129,-109.66,20.103,20.103417,0.000417,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,404,720,True,True
phase7-candidate-04,/mnt/spirit-8tb/media/yes/Heyimbee - Busty E-Girl Onlyfans Leaked - Fapdungeon(1).mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-04.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-04.json,ok,mobile-720p,transcode,h264_videotoolbox,spirit-mac-mini,5166446,16117757,-211.97,45.5,45.5,0.0,"mov,mp4,m4a,3gp,3g2,mj2",h264,,404,720,True,False
phase7-candidate-05,/mnt/spirit-8tb/media/yes/Devorah Roloff Nude Leaked OnlyFans Video 348 - Ibradome.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-05.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-05.json,ok,mobile-720p,transcode,h264_videotoolbox,spirit-mac-mini,14137620,22269583,-57.52,60.518792,60.518792,0.0,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1280,720,True,True
phase7-candidate-06,/mnt/spirit-8tb/media/yes/models/izzy-green/ScreenRecording_05-20-2026 23-16-39_1.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-06.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-06.json,ok,mobile-720p,transcode,h264_videotoolbox,spirit-mac-mini,55524763,10869054,80.42,29.741202,29.692562,0.04864,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,332,720,True,True
phase7-candidate-07,/mnt/spirit-8tb/media/yes/Devorah Roloff Nude Leaked OnlyFans Video 344 - Ibradome.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-07.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-07.json,ok,mobile-720p,transcode,h264_videotoolbox,spirit-mac-mini,92718800,80547379,13.13,218.74,218.74,0.0,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1280,720,True,True
phase7-candidate-08,/mnt/spirit-8tb/media/yes/unknown/ScreenRecording_05-20-2026 23-18-19_1.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-08.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-08.json,ok,mobile-720p,transcode,h264_videotoolbox,spirit-mac-mini,114911439,22840667,80.12,62.385011,62.337029,0.047982,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,332,720,True,True
phase7-candidate-09,/mnt/spirit-8tb/media/yes/RisqueCore Vid 10.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-09.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-09.json,ok,mobile-720p,transcode,h264_videotoolbox,spirit-mac-mini,180777650,15903331,91.2,44.766667,44.766667,0.0,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1280,720,True,True
