index,path,size_bytes,duration_seconds,container,video_codec,audio_codec,width,height,bitrate,faststart_status,reason,recommended_profile,derivative_exists,receipt_exists,output_path,receipt_path
1,/mnt/spirit-8tb/media/yes/models/sava-schultz/Savaschultz savaschulz savashultz Exclusive Leaked Nude OnlyFans(14).mp4,645614,4.766667,"mov,mp4,m4a,3gp,3g2,mj2",h264,,720,900,1083547,checked by optimizer receipt,no audio stream; verify video-only MP4 derivative,remux-faststart-only,True,True,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-proof-sava-14.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-proof-sava-14.json
2,/mnt/spirit-8tb/media/yes/Devorah Roloff Nude Leaked OnlyFans Video 25 - Ibradome.mp4,667873,6.84,"mov,mp4,m4a,3gp,3g2,mj2",hevc,aac,584,1080,781138,checked by optimizer receipt,video codec hevc needs H.264 derivative,mobile-720p,True,True,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-02.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-02.json
3,/mnt/spirit-8tb/media/yes/Devorah Roloff Nude Leaked OnlyFans Video 36 - Ibradome.mp4,3562968,20.103,"mov,mp4,m4a,3gp,3g2,mj2",hevc,aac,608,1080,1417885,checked by optimizer receipt,video codec hevc needs H.264 derivative,mobile-720p,True,True,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-03.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-03.json
4,/mnt/spirit-8tb/media/yes/Heyimbee - Busty E-Girl Onlyfans Leaked - Fapdungeon(1).mp4,5166446,45.5,"mov,mp4,m4a,3gp,3g2,mj2",h264,,720,1280,908386,checked by optimizer receipt,no audio stream; verify video-only MP4 derivative,mobile-720p,True,True,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-04.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-04.json
5,/mnt/spirit-8tb/media/yes/Devorah Roloff Nude Leaked OnlyFans Video 348 - Ibradome.mp4,14137620,60.518792,"mov,mp4,m4a,3gp,3g2,mj2",hevc,aac,1280,720,1868856,checked by optimizer receipt,video codec hevc needs H.264 derivative,mobile-720p,True,True,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-05.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-05.json
6,/mnt/spirit-8tb/media/yes/models/izzy-green/ScreenRecording_05-20-2026 23-16-39_1.mp4,55524763,29.741202,"mov,mp4,m4a,3gp,3g2,mj2",hevc,aac,884,1920,14935445,checked by optimizer receipt,video codec hevc needs H.264 derivative; long edge above 720p mobile target,mobile-720p,True,True,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-06.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-06.json
7,/mnt/spirit-8tb/media/yes/Devorah Roloff Nude Leaked OnlyFans Video 344 - Ibradome.mp4,92718800,218.74,"mov,mp4,m4a,3gp,3g2,mj2",hevc,aac,1280,720,3391013,checked by optimizer receipt,video codec hevc needs H.264 derivative,mobile-720p,True,True,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-07.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-07.json
8,/mnt/spirit-8tb/media/yes/unknown/ScreenRecording_05-20-2026 23-18-19_1.mp4,114911439,62.385011,"mov,mp4,m4a,3gp,3g2,mj2",hevc,aac,884,1920,14735775,checked by optimizer receipt,video codec hevc needs H.264 derivative; long edge above 720p mobile target,mobile-720p,True,True,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-08.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-08.json
9,/mnt/spirit-8tb/media/yes/RisqueCore Vid 10.mp4,180777650,44.766667,"mov,mp4,m4a,3gp,3g2,mj2",hevc,aac,3840,2160,32305759,checked by optimizer receipt,video codec hevc needs H.264 derivative; long edge above 720p mobile target,mobile-720p,True,True,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-09.mp4,/mnt/spirit-8tb/media/.spiritflix-admin/mobile-optimized/20260621/phase7-candidate-09.json
