path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough,reason
/mnt/spirit-8tb/media/tempTwitter/Ash 🫧 - Might turn some heads in these [2025373633879715840].mp4,Ash 🫧 - Might turn some heads in these [2025373633879715840].mp4,.mp4,3218019,2026-06-21T03:09:17.389Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/LilyKoti 🙀 - This is how much I need a good rest this weekend 🫦 [2008197600260866048].mp4,LilyKoti 🙀 - This is how much I need a good rest this weekend 🫦 [2008197600260866048].mp4,.mp4,4600896,2026-06-21T03:09:22.666Z,yes,no,no,modified less than 120s ago
"/mnt/spirit-8tb/media/tempTwitter/Mai Nguyen - Good morning, empty your wallet for me [2023881836913692672].mp4","Mai Nguyen - Good morning, empty your wallet for me [2023881836913692672].mp4",.mp4,2839312,2026-06-21T03:09:19.826Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Mens_Corner__ - Some ladies are better at opening Champaign bottles than others [2025316580049989633].mp4,Mens_Corner__ - Some ladies are better at opening Champaign bottles than others [2025316580049989633].mp4,.mp4,4761694,2026-06-21T03:08:27.247Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Tapped raw - https：⧸⧸t.co⧸m5iU6w98eh [1943749201638092800].mp4,Tapped raw - https：⧸⧸t.co⧸m5iU6w98eh [1943749201638092800].mp4,.mp4,99245205,2026-06-21T03:08:53.951Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes,unsupported input
/mnt/spirit-8tb/media/tempTwitter/＊~♡~Erin~♡~＊ - Hey Y’all💚 Happy Fri-high-day🙌🏻 In from work and had dinner. Now let’... [2025021051344769024].fhls-2651.mp4,＊~♡~Erin~♡~＊ - Hey Y’all💚 Happy Fri-high-day🙌🏻 In from work and had dinner. Now let’... [2025021051344769024].fhls-2651.mp4,.mp4,91280748,2026-06-21T03:10:04.041Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/＊~♡~Erin~♡~＊ - Hey Y’all💚 Happy Fri-high-day🙌🏻 In from work and had dinner. Now let’... [2025021051344769024].fhls-audio-128000-Audio.mp4,＊~♡~Erin~♡~＊ - Hey Y’all💚 Happy Fri-high-day🙌🏻 In from work and had dinner. Now let’... [2025021051344769024].fhls-audio-128000-Audio.mp4,.mp4,4699339,2026-06-21T03:10:20.525Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/＊~♡~Erin~♡~＊ - Hey Y’all💚 Happy Fri-high-day🙌🏻 In from work and had dinner. Now let’... [2025021051344769024].temp.mp4,＊~♡~Erin~♡~＊ - Hey Y’all💚 Happy Fri-high-day🙌🏻 In from work and had dinner. Now let’... [2025021051344769024].temp.mp4,.mp4,95829485,2026-06-21T03:10:24.127Z,yes,no,no,size changed between scans
