path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough,reason
/mnt/spirit-8tb/media/tempTwitter/Ash 🫧 - Might turn some heads in these [2025373633879715840].mp4,Ash 🫧 - Might turn some heads in these [2025373633879715840].mp4,.mp4,3218019,2026-06-21T03:09:17.389Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Katie Vaynes 💋 - Keep your man’s belly full and balls empty. The world would be a bett... [2017007711217414144].mp4,Katie Vaynes 💋 - Keep your man’s belly full and balls empty. The world would be a bett... [2017007711217414144].mp4,.mp4,10517727,2026-06-21T03:10:47.073Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Katie Vaynes 💋 - Mommy wants you to feel how soft they are…😈 [2024256243733237760].mp4,Katie Vaynes 💋 - Mommy wants you to feel how soft they are…😈 [2024256243733237760].mp4,.mp4,4019980,2026-06-21T03:10:55.326Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/LilyKoti 🙀 - This is how much I need a good rest this weekend 🫦 [2008197600260866048].mp4,LilyKoti 🙀 - This is how much I need a good rest this weekend 🫦 [2008197600260866048].mp4,.mp4,4600896,2026-06-21T03:09:22.666Z,yes,no,no,modified less than 120s ago
"/mnt/spirit-8tb/media/tempTwitter/Mai Nguyen - Good morning, empty your wallet for me [2023881836913692672].mp4","Mai Nguyen - Good morning, empty your wallet for me [2023881836913692672].mp4",.mp4,2839312,2026-06-21T03:09:19.826Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Mallkoovaa - wataa [2002281692476641280].mp4,Mallkoovaa - wataa [2002281692476641280].mp4,.mp4,8590514,2026-06-21T03:10:51.118Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Mittens - Small forehead ones have a special place in my heart [2024542299502333952].mp4,Mittens - Small forehead ones have a special place in my heart [2024542299502333952].mp4,.mp4,1420482,2026-06-21T03:10:27.817Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Nickii - Bounce balls 🏀 [2025017694571855872].mp4,Nickii - Bounce balls 🏀 [2025017694571855872].mp4,.mp4,204107,2026-06-21T03:10:38.436Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Woe - @valecas96 this is the exact video that put me on a watchlist ✨ [2024962721393922048].mp4,Woe - @valecas96 this is the exact video that put me on a watchlist ✨ [2024962721393922048].mp4,.mp4,10405866,2026-06-21T03:10:35.026Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/asianshf - https：⧸⧸t.co⧸gJ7Of8tw4N [2023881836913692672].mp4,asianshf - https：⧸⧸t.co⧸gJ7Of8tw4N [2023881836913692672].mp4,.mp4,2839312,2026-06-21T03:10:30.165Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes,unsupported input
/mnt/spirit-8tb/media/tempTwitter/ʙᴏᴏʙᴢ ᴘᴇʀꜰᴇᴄᴛ - TITTY DROP 💧 [2003262409939816448].mp4,ʙᴏᴏʙᴢ ᴘᴇʀꜰᴇᴄᴛ - TITTY DROP 💧 [2003262409939816448].mp4,.mp4,7154224,2026-06-21T03:10:40.218Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/＊~♡~Erin~♡~＊ - Hey Y’all💚 Happy Fri-high-day🙌🏻 In from work and had dinner. Now let’... [2025021051344769024].mp4,＊~♡~Erin~♡~＊ - Hey Y’all💚 Happy Fri-high-day🙌🏻 In from work and had dinner. Now let’... [2025021051344769024].mp4,.mp4,96143748,2026-06-21T03:10:04.041Z,yes,no,no,modified less than 120s ago
