path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough
/mnt/spirit-8tb/media/tempTwitter/Ash 🫧 - Might turn some heads in these [2025373633879715840].mp4,Ash 🫧 - Might turn some heads in these [2025373633879715840].mp4,.mp4,3218019,2026-06-21T03:09:17.389Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/Jazmen - @Vanessa5957285 I see it! [2026836764846112768].mp4,Jazmen - @Vanessa5957285 I see it! [2026836764846112768].mp4,.mp4,2776129,2026-06-21T03:07:21.025Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Jazmen - @zanji_49 Zero! [2026672869103775750].mp4,Jazmen - @zanji_49 Zero! [2026672869103775750].mp4,.mp4,2959812,2026-06-21T03:07:24.057Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Katie Vaynes 💋 - Is it a turn off to be this dirty？ I need to know for science! [2026064732944236544].mp4,Katie Vaynes 💋 - Is it a turn off to be this dirty？ I need to know for science! [2026064732944236544].mp4,.mp4,6225046,2026-06-21T03:06:56.304Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/LilyKoti 🙀 - This is how much I need a good rest this weekend 🫦 [2008197600260866048].mp4,LilyKoti 🙀 - This is how much I need a good rest this weekend 🫦 [2008197600260866048].mp4,.mp4,4600896,2026-06-21T03:09:22.666Z,yes,no,no
"/mnt/spirit-8tb/media/tempTwitter/Mai Nguyen - Good morning, empty your wallet for me [2023881836913692672].mp4","Mai Nguyen - Good morning, empty your wallet for me [2023881836913692672].mp4",.mp4,2839312,2026-06-21T03:09:19.826Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/Mens_Corner__ - Some ladies are better at opening Champaign bottles than others [2025316580049989633].mp4,Mens_Corner__ - Some ladies are better at opening Champaign bottles than others [2025316580049989633].mp4,.mp4,4761694,2026-06-21T03:08:27.247Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/TacticalStNick - It’s #TiddyTuesday. I really want a steak now. [2026189555464851456].mp4,TacticalStNick - It’s #TiddyTuesday. I really want a steak now. [2026189555464851456].mp4,.mp4,8364732,2026-06-21T03:07:16.918Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Tapped raw - https：⧸⧸t.co⧸m5iU6w98eh [1943749201638092800].mp4,Tapped raw - https：⧸⧸t.co⧸m5iU6w98eh [1943749201638092800].mp4,.mp4,99245205,2026-06-21T03:08:53.951Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/The Azz Station 🍑⛽️ - #bigass #latina #blowjob #backshots #homemade #pov [1973055886064222208].mp4,The Azz Station 🍑⛽️ - #bigass #latina #blowjob #backshots #homemade #pov [1973055886064222208].mp4,.mp4,69205007,2026-06-21T03:06:36.091Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Woe - @Djoko_UTD my favorite kind of wardrobe malfunction tbh [2027116242063278080].mp4,Woe - @Djoko_UTD my favorite kind of wardrobe malfunction tbh [2027116242063278080].mp4,.mp4,1182631,2026-06-21T03:06:19.090Z,yes,no,yes
"/mnt/spirit-8tb/media/tempTwitter/Wofaase👿 - Cardi B’s BBL looks so real, I won’t lie. 😭 [2026678432273219584].mp4","Wofaase👿 - Cardi B’s BBL looks so real, I won’t lie. 😭 [2026678432273219584].mp4",.mp4,68414758,2026-06-21T03:07:07.044Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes
/mnt/spirit-8tb/media/tempTwitter/rain - https：⧸⧸t.co⧸WQu6ei6f6U [2004007835118772224].mp4,rain - https：⧸⧸t.co⧸WQu6ei6f6U [2004007835118772224].mp4,.mp4,71423688,2026-06-21T03:07:53.560Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/＊~♡~Erin~♡~＊ - Hey Y’all💚 Happy Fri-high-day🙌🏻 In from work and had dinner. Now let’... [2025021051344769024].fhls-2651.mp4,＊~♡~Erin~♡~＊ - Hey Y’all💚 Happy Fri-high-day🙌🏻 In from work and had dinner. Now let’... [2025021051344769024].fhls-2651.mp4,.mp4,91280748,2026-06-21T03:10:04.041Z,no,yes,no
/mnt/spirit-8tb/media/tempTwitter/＊~♡~Erin~♡~＊ - Hey Y’all💚 Happy Fri-high-day🙌🏻 In from work and had dinner. Now let’... [2025021051344769024].fhls-audio-128000-Audio.mp4,＊~♡~Erin~♡~＊ - Hey Y’all💚 Happy Fri-high-day🙌🏻 In from work and had dinner. Now let’... [2025021051344769024].fhls-audio-128000-Audio.mp4,.mp4,4699339,2026-06-21T03:10:20.525Z,no,yes,no
/mnt/spirit-8tb/media/tempTwitter/＊~♡~Erin~♡~＊ - Hey Y’all💚 Happy Fri-high-day🙌🏻 In from work and had dinner. Now let’... [2025021051344769024].temp.mp4,＊~♡~Erin~♡~＊ - Hey Y’all💚 Happy Fri-high-day🙌🏻 In from work and had dinner. Now let’... [2025021051344769024].temp.mp4,.mp4,2883632,2026-06-21T03:10:22.127Z,yes,no,no
