index,old_mkv_path,filename,status,current_path,current_extension,current_probe_ok,old_duration,current_duration,duration_diff_seconds,preserved_path,sidecars_current,why
12,/mnt/spirit-8tb/media/yes/unknown/JoinUs @RisqueMega 184.mkv,JoinUs @RisqueMega 184.mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/unknown/JoinUs @RisqueMega 184.mp4,.mp4,true,561.719,561.686125,0.03287500000010368,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/unknown/JoinUs @RisqueMega 184.mkv,/mnt/spirit-8tb/media/yes/unknown/JoinUs @RisqueMega 184.mp4.face-meta.json; /mnt/spirit-8tb/media/yes/unknown/JoinUs @RisqueMega 184.mp4.media-ingest.json,current canonical candidate found by normalized title
13,/mnt/spirit-8tb/media/yes/unknown/OF4LM.COM is our home__315.mkv,OF4LM.COM is our home__315.mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/unknown/OF4LM.COM is our home__315.mp4,.mp4,true,14.131,14.097417,0.03358300000000014,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/unknown/OF4LM.COM is our home__315.mkv,/mnt/spirit-8tb/media/yes/unknown/OF4LM.COM is our home__315.mp4.face-meta.json; /mnt/spirit-8tb/media/yes/unknown/OF4LM.COM is our home__315.mp4.media-ingest.json,current canonical candidate found by normalized title
14,/mnt/spirit-8tb/media/yes/unknown/OF4LM.COM is our home__400.mkv,OF4LM.COM is our home__400.mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/unknown/OF4LM.COM is our home__400.mp4,.mp4,true,50.667,50.633917,0.03308300000000486,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/unknown/OF4LM.COM is our home__400.mkv,/mnt/spirit-8tb/media/yes/unknown/OF4LM.COM is our home__400.mp4.face-meta.json; /mnt/spirit-8tb/media/yes/unknown/OF4LM.COM is our home__400.mp4.media-ingest.json,current canonical candidate found by normalized title
15,/mnt/spirit-8tb/media/yes/unknown/JoinUs @RisqueMega 64.mkv,JoinUs @RisqueMega 64.mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/unknown/JoinUs @RisqueMega 64.mp4,.mp4,true,815.64,815.606458,0.033542000000011285,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/unknown/JoinUs @RisqueMega 64.mkv,/mnt/spirit-8tb/media/yes/unknown/JoinUs @RisqueMega 64.mp4.face-meta.json; /mnt/spirit-8tb/media/yes/unknown/JoinUs @RisqueMega 64.mp4.media-ingest.json,current canonical candidate found by normalized title
16,/mnt/spirit-8tb/media/yes/unknown/OF4LM.COM is our home__377.mkv,OF4LM.COM is our home__377.mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/unknown/OF4LM.COM is our home__377.mp4,.mp4,true,98.84,98.807042,0.032958000000007814,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/unknown/OF4LM.COM is our home__377.mkv,/mnt/spirit-8tb/media/yes/unknown/OF4LM.COM is our home__377.mp4.face-meta.json; /mnt/spirit-8tb/media/yes/unknown/OF4LM.COM is our home__377.mp4.media-ingest.json,current canonical candidate found by normalized title
17,/mnt/spirit-8tb/media/yes/models/leighbunbun/Visit onlyshare.io FOR MORE (8).mkv,Visit onlyshare.io FOR MORE (8).mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/leighbunbun/Visit onlyshare.io FOR MORE (8).mp4,.mp4,true,71.213,71.18,0.03299999999998704,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/models/leighbunbun/Visit onlyshare.io FOR MORE (8).mkv,/mnt/spirit-8tb/media/yes/models/leighbunbun/Visit onlyshare.io FOR MORE (8).mp4.media-ingest.json,current canonical candidate found by normalized title
18,/mnt/spirit-8tb/media/yes/models/azilia-hadid/@boomboomhub TG (43).mkv,@boomboomhub TG (43).mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/azilia-hadid/@boomboomhub TG (43).mp4,.mp4,true,91.75,91.716625,0.033375000000006594,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/models/azilia-hadid/@boomboomhub TG (43).mkv,/mnt/spirit-8tb/media/yes/models/azilia-hadid/@boomboomhub TG (43).mp4.face-meta.json; /mnt/spirit-8tb/media/yes/models/azilia-hadid/@boomboomhub TG (43).mp4.media-ingest.json,current canonical candidate found by normalized title
19,/mnt/spirit-8tb/media/yes/models/azilia-hadid/@boomboomhub TG (50).mkv,@boomboomhub TG (50).mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/azilia-hadid/@boomboomhub TG (50).mp4,.mp4,true,137.421,137.38725,0.033749999999997726,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/models/azilia-hadid/@boomboomhub TG (50).mkv,/mnt/spirit-8tb/media/yes/models/azilia-hadid/@boomboomhub TG (50).mp4.face-meta.json; /mnt/spirit-8tb/media/yes/models/azilia-hadid/@boomboomhub TG (50).mp4.media-ingest.json,current canonical candidate found by normalized title
20,/mnt/spirit-8tb/media/yes/models/azilia-hadid/@boomboomhub TG (39).mkv,@boomboomhub TG (39).mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/azilia-hadid/@boomboomhub TG (39).mp4,.mp4,true,351.635,351.60125,0.033749999999997726,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/models/azilia-hadid/@boomboomhub TG (39).mkv,/mnt/spirit-8tb/media/yes/models/azilia-hadid/@boomboomhub TG (39).mp4.face-meta.json; /mnt/spirit-8tb/media/yes/models/azilia-hadid/@boomboomhub TG (39).mp4.media-ingest.json,current canonical candidate found by normalized title
21,/mnt/spirit-8tb/media/yes/models/sienna-ababi/@DailyLeaksMain_5a6152622c58eb1a882b28ad94a5b92dbafc2eaa155bb35c1ce00b835156eba3.mkv,@DailyLeaksMain_5a6152622c58eb1a882b28ad94a5b92dbafc2eaa155bb35c1ce00b835156eba3.mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/sienna-ababi/@DailyLeaksMain_5a6152622c58eb1a882b28ad94a5b92dbafc2eaa155bb35c1ce00b835156eba3.mp4,.mp4,true,93.71,93.676917,0.03308299999999065,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/models/sienna-ababi/@DailyLeaksMain_5a6152622c58eb1a882b28ad94a5b92dbafc2eaa155bb35c1ce00b835156eba3.mkv,/mnt/spirit-8tb/media/yes/models/sienna-ababi/@DailyLeaksMain_5a6152622c58eb1a882b28ad94a5b92dbafc2eaa155bb35c1ce00b835156eba3.mp4.face-meta.json; /mnt/spirit-8tb/media/yes/models/sienna-ababi/@DailyLeaksMain_5a6152622c58eb1a882b28ad94a5b92dbafc2eaa155bb35c1ce00b835156eba3.mp4.media-ingest.json,current canonical candidate found by normalized title
