index,filename,title_search_found,match_count,best_match_filename,best_match_path,best_match_score,best_match_reasons
41,@MLHUBOF Telegram 🌌🔥 - 558.mkv,true,1,@MLHUBOF Telegram 🌌🔥 - 558.MP4,D:\tempVidStorage\anrdoidBackup\@MLHUBOF Telegram 🌌🔥 - 558.MP4,0.98,soft exact title: @MLHUBOF Telegram 🌌🔥 - 558; candidate contains title: @MLHUBOF Telegram 🌌🔥 - 558; title contains candidate: @MLHUBOF Telegram 🌌🔥 - 558.MP4; numeric id overlap: 558
42,@MLHUBOF Telegram 🌌🔥 - 959.mkv,false,0,,,,
43,@MLHUBOF Telegram 🌌🔥 - 870.mkv,false,0,,,,
44,(21).mkv,true,1,(21).MP4,D:\tempVidStorage\anrdoidBackup\(21).MP4,0.98,soft exact title: (21)
45,(28).mkv,false,0,,,,
46,(116).mkv,true,1,(116).MP4,D:\tempVidStorage\anrdoidBackup\(116).MP4,0.98,soft exact title: (116); numeric id overlap: 116
47,(19).mkv,true,1,(19).MP4,D:\tempVidStorage\anrdoidBackup\(19).MP4,0.98,soft exact title: (19)
48,(31).mkv,true,1,(31).MP4,D:\tempVidStorage\anrdoidBackup\(31).MP4,0.98,soft exact title: (31)
49,✨@ofxmega on [TELEGRAM] (288).mkv,true,1,✨@ofxmega on [TELEGRAM] (288).M4V,D:\tempVidStorage\anrdoidBackup\✨@ofxmega on [TELEGRAM] (288).M4V,0.98,soft exact title: ✨@ofxmega on [TELEGRAM] (288); candidate contains title: ✨@ofxmega on [TELEGRAM] (288); title contains candidate: ✨@ofxmega on [TELEGRAM] (288).M4V; numeric id overlap: 288
50,✨@ofxmega on [TELEGRAM] (278).mkv,true,1,✨@ofxmega on [TELEGRAM] (278).MP4,D:\tempVidStorage\anrdoidBackup\✨@ofxmega on [TELEGRAM] (278).MP4,0.98,soft exact title: ✨@ofxmega on [TELEGRAM] (278); candidate contains title: ✨@ofxmega on [TELEGRAM] (278); title contains candidate: ✨@ofxmega on [TELEGRAM] (278).MP4; numeric id overlap: 278
51,✨@ofxmega on [TELEGRAM] (279).mkv,true,1,✨@ofxmega on [TELEGRAM] (279).MP4,D:\tempVidStorage\anrdoidBackup\✨@ofxmega on [TELEGRAM] (279).MP4,0.98,soft exact title: ✨@ofxmega on [TELEGRAM] (279); candidate contains title: ✨@ofxmega on [TELEGRAM] (279); title contains candidate: ✨@ofxmega on [TELEGRAM] (279).MP4; numeric id overlap: 279
52,✨@ofxmega on [TELEGRAM] (86).mkv,false,0,,,,
53,✨@ofxmega on [TELEGRAM] (274).mkv,true,1,✨@ofxmega on [TELEGRAM] (274).MP4,D:\tempVidStorage\anrdoidBackup\✨@ofxmega on [TELEGRAM] (274).MP4,0.98,soft exact title: ✨@ofxmega on [TELEGRAM] (274); candidate contains title: ✨@ofxmega on [TELEGRAM] (274); title contains candidate: ✨@ofxmega on [TELEGRAM] (274).MP4; numeric id overlap: 274
