path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough,reason
/mnt/spirit-8tb/media/tempTwitter/GOJO ࣪ ☾ - this is how you handle that shy girl [1917549174498775041].mp4,GOJO ࣪ ☾ - this is how you handle that shy girl [1917549174498775041].mp4,.mp4,5167592,2026-06-21T02:48:40.610Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Jacq - I’ll talk you through it [2029739509060096000].mp4,Jacq - I’ll talk you through it [2029739509060096000].mp4,.mp4,5401050,2026-06-21T02:48:44.678Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Marco - Corinna Kopf vió q sus viewers estaban bajando y se pone a hacer eso ... [2031865430474678274].mp4,Marco - Corinna Kopf vió q sus viewers estaban bajando y se pone a hacer eso ... [2031865430474678274].mp4,.mp4,8050005,2026-06-21T02:48:48.012Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/OnlyVault - Important news ： Hey guys getting many reports soon this page will ge... [2033599456588034048].mp4,OnlyVault - Important news ： Hey guys getting many reports soon this page will ge... [2033599456588034048].mp4,.mp4,311211088,2026-06-21T02:47:19.546Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Rej - صدري حلو ولا،😭،😭،،، [2033263950842769410].mp4,Rej - صدري حلو ولا،😭،😭،،، [2033263950842769410].mp4,.mp4,302146,2026-06-21T02:48:50.680Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/SightlyGirls - Men will still cheat [2032913507075686400].mp4,SightlyGirls - Men will still cheat [2032913507075686400].mp4,.mp4,3672101,2026-06-21T02:48:14.633Z,yes,no,no,modified less than 120s ago
"/mnt/spirit-8tb/media/tempTwitter/The Best Viral Vids🔥 - Does she need to hydrate herself, or does it bring back fond memories？ [2033578825108365312].mp4","The Best Viral Vids🔥 - Does she need to hydrate herself, or does it bring back fond memories？ [2033578825108365312].mp4",.mp4,2536895,2026-06-21T02:48:27.449Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/babybaby - https：⧸⧸t.co⧸GxvApiu1IX [1962398752532312065].mp4,babybaby - https：⧸⧸t.co⧸GxvApiu1IX [1962398752532312065].mp4,.mp4,3611189,2026-06-21T02:48:54.021Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/babybaby - คลิปเต็มในpvacc😾 [2020486244619505664].mp4,babybaby - คลิปเต็มในpvacc😾 [2020486244619505664].mp4,.mp4,768782,2026-06-21T02:48:59.032Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes,unsupported input
/mnt/spirit-8tb/media/tempTwitter/emi 🥛 - chudai？ [1992341198627831808].mp4,emi 🥛 - chudai？ [1992341198627831808].mp4,.mp4,789156,2026-06-21T02:48:37.819Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/luna ✮⋆˙ - are you a shower or a grower？？ [2033736900683735040].mp4,luna ✮⋆˙ - are you a shower or a grower？？ [2033736900683735040].mp4,.mp4,3204072,2026-06-21T02:48:30.068Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/mónica - “what’s the best kiss you’ve seen on a series？”  automatically me： [1618674971353432065].mp4,mónica - “what’s the best kiss you’ve seen on a series？”  automatically me： [1618674971353432065].mp4,.mp4,3922418,2026-06-21T02:48:35.101Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/whatever - 34 + 66 FAIL？! MATH FAIL？! Whatever Podcast with Brian Atlas Dating T... [2033213921247584256].mp4,whatever - 34 + 66 FAIL？! MATH FAIL？! Whatever Podcast with Brian Atlas Dating T... [2033213921247584256].mp4,.mp4,4478870,2026-06-21T02:48:18.492Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/허다연 - 이거.. 나시 너무 자주 입어？ [2033214385280434176].mp4,허다연 - 이거.. 나시 너무 자주 입어？ [2033214385280434176].mp4,.mp4,368548,2026-06-21T02:49:02.276Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/𝐅𝐞𝐢𝐧 ✞ - Corinna Kopf saw her viewers drop and immediately started throwing CA... [2031865430474678274].mp4,𝐅𝐞𝐢𝐧 ✞ - Corinna Kopf saw her viewers drop and immediately started throwing CA... [2031865430474678274].mp4,.mp4,8050005,2026-06-21T02:49:04.996Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/𝑱𝒆𝒓 ᥫ᭡★ᯓ ｜ 𝘛𝘩𝘦 𝘢𝘪𝘳 - I remember watching this at 8am on a random weekday in 2023 man what ... [1618674971353432065].mp4,𝑱𝒆𝒓 ᥫ᭡★ᯓ ｜ 𝘛𝘩𝘦 𝘢𝘪𝘳 - I remember watching this at 8am on a random weekday in 2023 man what ... [1618674971353432065].mp4,.mp4,3922418,2026-06-21T02:48:23.958Z,yes,no,no,modified less than 120s ago
