path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough,reason
/mnt/spirit-8tb/media/tempTwitter/GANGBANG HD PORN - Wataa 🤤 [2015946958326923267].fhls-1374.mp4,GANGBANG HD PORN - Wataa 🤤 [2015946958326923267].fhls-1374.mp4,.mp4,227481064,2026-06-21T02:53:29.963Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/GANGBANG HD PORN - Wataa 🤤 [2015946958326923267].fhls-audio-128000-Audio.mp4.part,GANGBANG HD PORN - Wataa 🤤 [2015946958326923267].fhls-audio-128000-Audio.mp4.part,.part,5060067,2026-06-21T02:53:39.728Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/GANGBANG HD PORN - Wataa 🤤 [2015946958326923267].fhls-audio-128000-Audio.mp4.ytdl,GANGBANG HD PORN - Wataa 🤤 [2015946958326923267].fhls-audio-128000-Audio.mp4.ytdl,.ytdl,71,2026-06-21T02:53:39.764Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/Pearl ✿ - All oiled up with a perfect view from below ：) [2032231883480637440].mp4,Pearl ✿ - All oiled up with a perfect view from below ：) [2032231883480637440].mp4,.mp4,1883205,2026-06-21T02:52:25.730Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Pearl ✿ - Some side booty appreciation 🤭 [2030058826947272704].mp4,Pearl ✿ - Some side booty appreciation 🤭 [2030058826947272704].mp4,.mp4,1382356,2026-06-21T02:52:23.597Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes,unsupported input
/mnt/spirit-8tb/media/tempTwitter/luna ✮⋆˙ - idk if anyone will even watch til the end and say it tho ：⧸ [2032275601487511557].mp4,luna ✮⋆˙ - idk if anyone will even watch til the end and say it tho ：⧸ [2032275601487511557].mp4,.mp4,6025648,2026-06-21T02:52:28.069Z,yes,no,no,modified less than 120s ago
