path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough
/mnt/spirit-8tb/media/tempTwitter/MissAV（精剪版） - Chudai @LanVdai778  @hongxiutian @kongguyoul @chenyuluoy @xiaomidare [2038486183005884417].mp4,MissAV（精剪版） - Chudai @LanVdai778  @hongxiutian @kongguyoul @chenyuluoy @xiaomidare [2038486183005884417].mp4,.mp4,1243283821,2026-06-21T02:19:02.283Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes
/mnt/spirit-8tb/media/tempTwitter/kekw - Cory Chase [2036710790246580224].fhls-914.mp4,kekw - Cory Chase [2036710790246580224].fhls-914.mp4,.mp4,170430499,2026-06-21T02:29:47.972Z,no,yes,no
/mnt/spirit-8tb/media/tempTwitter/kekw - Cory Chase [2036710790246580224].fhls-audio-128000-Audio.mp4.part,kekw - Cory Chase [2036710790246580224].fhls-audio-128000-Audio.mp4.part,.part,5011431,2026-06-21T02:30:03.773Z,no,yes,no
/mnt/spirit-8tb/media/tempTwitter/kekw - Cory Chase [2036710790246580224].fhls-audio-128000-Audio.mp4.part-Frag105,kekw - Cory Chase [2036710790246580224].fhls-audio-128000-Audio.mp4.part-Frag105,.part-frag105,48586,2026-06-21T02:30:03.881Z,no,yes,no
/mnt/spirit-8tb/media/tempTwitter/kekw - Cory Chase [2036710790246580224].fhls-audio-128000-Audio.mp4.ytdl,kekw - Cory Chase [2036710790246580224].fhls-audio-128000-Audio.mp4.ytdl,.ytdl,71,2026-06-21T02:30:03.789Z,no,yes,no
