path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough,reason
/mnt/spirit-8tb/media/tempTwitter/GANGBANG HD PORN - Wataa 🤤 [2015946958326923267].fhls-1374.mp4,GANGBANG HD PORN - Wataa 🤤 [2015946958326923267].fhls-1374.mp4,.mp4,227481064,2026-06-21T02:53:29.963Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/GANGBANG HD PORN - Wataa 🤤 [2015946958326923267].fhls-audio-128000-Audio.mp4,GANGBANG HD PORN - Wataa 🤤 [2015946958326923267].fhls-audio-128000-Audio.mp4,.mp4,23676154,2026-06-21T02:54:16.074Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/GANGBANG HD PORN - Wataa 🤤 [2015946958326923267].temp.mp4,GANGBANG HD PORN - Wataa 🤤 [2015946958326923267].temp.mp4,.mp4,42991664,2026-06-21T02:54:55.541Z,yes,no,no,size changed between scans
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes,unsupported input
