path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough,reason
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes,unsupported input
/mnt/spirit-8tb/media/tempTwitter/kekw - Cory Chase [2036710790246580224].fhls-914.mp4,kekw - Cory Chase [2036710790246580224].fhls-914.mp4,.mp4,170430499,2026-06-21T02:29:47.972Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/kekw - Cory Chase [2036710790246580224].fhls-audio-128000-Audio.mp4.part,kekw - Cory Chase [2036710790246580224].fhls-audio-128000-Audio.mp4.part,.part,5838247,2026-06-21T02:30:05.829Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/kekw - Cory Chase [2036710790246580224].fhls-audio-128000-Audio.mp4.ytdl,kekw - Cory Chase [2036710790246580224].fhls-audio-128000-Audio.mp4.ytdl,.ytdl,71,2026-06-21T02:30:05.840Z,no,yes,no,incomplete/temp file
