path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough,reason
/mnt/spirit-8tb/media/tempTwitter/Devilscompanion01 - https：⧸⧸t.co⧸0QVe2adxWG [2028159398942584832].mp4,Devilscompanion01 - https：⧸⧸t.co⧸0QVe2adxWG [2028159398942584832].mp4,.mp4,23308569,2026-06-21T02:43:17.103Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Fudhsvf - https：⧸⧸t.co⧸u8cAcXYIBU [2033599456588034048].fhls-2824.mp4,Fudhsvf - https：⧸⧸t.co⧸u8cAcXYIBU [2033599456588034048].fhls-2824.mp4,.mp4,296739629,2026-06-21T02:44:34.227Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/Fudhsvf - https：⧸⧸t.co⧸u8cAcXYIBU [2033599456588034048].fhls-audio-128000-Audio.mp4.part,Fudhsvf - https：⧸⧸t.co⧸u8cAcXYIBU [2033599456588034048].fhls-audio-128000-Audio.mp4.part,.part,6087636,2026-06-21T02:44:46.750Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/Fudhsvf - https：⧸⧸t.co⧸u8cAcXYIBU [2033599456588034048].fhls-audio-128000-Audio.mp4.ytdl,Fudhsvf - https：⧸⧸t.co⧸u8cAcXYIBU [2033599456588034048].fhls-audio-128000-Audio.mp4.ytdl,.ytdl,71,2026-06-21T02:44:46.755Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/Nickii - Can I twerk and grind before I ride ？😈💦 [2034435258264018944].mp4,Nickii - Can I twerk and grind before I ride ？😈💦 [2034435258264018944].mp4,.mp4,1767714,2026-06-21T02:43:32.001Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Throne 🍑 - You aren’t going to sleep yet quit lying to yourself 😵‍💫 You are goin... [2034468357747982336].mp4,Throne 🍑 - You aren’t going to sleep yet quit lying to yourself 😵‍💫 You are goin... [2034468357747982336].mp4,.mp4,2167414,2026-06-21T02:43:26.211Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes,unsupported input
/mnt/spirit-8tb/media/tempTwitter/luna ✮⋆˙ - just as friends of course ：3 wouldn’t wanna ruin the friendship right？ [2034453560864456704].mp4,luna ✮⋆˙ - just as friends of course ：3 wouldn’t wanna ruin the friendship right？ [2034453560864456704].mp4,.mp4,2173072,2026-06-21T02:43:30.180Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/zoomer girls 3.0 - insanely healthy [2034027105210560512].mp4,zoomer girls 3.0 - insanely healthy [2034027105210560512].mp4,.mp4,1705684,2026-06-21T02:43:28.388Z,yes,no,no,modified less than 120s ago
