index,filename,title_search_found,match_count,best_match_filename,best_match_path,best_match_score,best_match_reasons
1,484374_720p.mkv,false,0,,,,
2,550807_720p.mkv,false,0,,,,
3,432038_720p.mkv,false,0,,,,
4,14318872.mkv,false,0,,,,
5,b072fcb9f821c935f46a4ed67477a041.mkv,true,1,0c194b909a8200e58550eaff39154d1faaa821f417d6a10ca949c247c50fed94.mp4,D:\tempVidStorage\anrdoidBackup\0c194b909a8200e58550eaff39154d1faaa821f417d6a10ca949c247c50fed94.mp4,0.86,meaningful numeric id overlap: 821
6,513329_720p.mkv,false,0,,,,
7,Aaliyah Yasin Has Unprotected Sex With A Stranger.optimized.mkv,true,1,Aaliyah Yasin Has Unprotected Sex With A Stranger.mp4,D:\tempVidStorage\Aaliyah Yasin Has Unprotected Sex With A Stranger.mp4,1,exact title; soft exact title; candidate contains full title; title contains candidate title; word overlap 100%
8,OF4LM.COM is our home__406.mkv,true,7,OF4LM.COM is our home__406.MP4,D:\tempVidStorage\anrdoidBackup\OF4LM.COM is our home__406.MP4,1,exact title; soft exact title; candidate contains full title; title contains candidate title; meaningful numeric id overlap: 406; word overlap 100%
9,ScreenRecording_05-20-2026 23-18-19_1.mkv,true,1,ScreenRecording_05-20-2026 23-18-19_1.MP4,D:\tempVidStorage\anrdoidBackup\ScreenRecording_05-20-2026 23-18-19_1.MP4,1,exact title; soft exact title; candidate contains full title; title contains candidate title
10,JoinUs @RisqueMega 233.mkv,true,1,JoinUs @RisqueMega 233.MP4,D:\tempVidStorage\anrdoidBackup\JoinUs @RisqueMega 233.MP4,1,exact title; soft exact title; candidate contains full title; title contains candidate title; meaningful numeric id overlap: 233
11,OF4LM.COM is our home__360.mkv,true,7,OF4LM.COM is our home__360.MP4,D:\tempVidStorage\anrdoidBackup\OF4LM.COM is our home__360.MP4,1,exact title; soft exact title; candidate contains full title; title contains candidate title; word overlap 100%
