path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough,reason
/mnt/spirit-8tb/media/tempTwitter/Aaliyah Yasin - VID SOLD! Hijabi Aaliyah gets caught by husbands best friend 🔥 Check ... [2050739832662761472].mp4,Aaliyah Yasin - VID SOLD! Hijabi Aaliyah gets caught by husbands best friend 🔥 Check ... [2050739832662761472].mp4,.mp4,4243902,2026-06-21T01:50:30.510Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Asian💛 - Wataa🍑 [2049614468225622016].mp4,Asian💛 - Wataa🍑 [2049614468225622016].mp4,.mp4,8470279,2026-06-21T01:50:44.465Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Beautiful Females - What's going on here？ [2048033060663484416].mp4,Beautiful Females - What's going on here？ [2048033060663484416].mp4,.mp4,1341181,2026-06-21T01:50:35.523Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/NSFWPornstars - Ball-draining blowjob from a gorgeous geek with pierced nipples  #NSF... [2049021043550105600].fhls-985.mp4,NSFWPornstars - Ball-draining blowjob from a gorgeous geek with pierced nipples  #NSF... [2049021043550105600].fhls-985.mp4,.mp4,40593563,2026-06-21T01:51:25.250Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/NSFWPornstars - Ball-draining blowjob from a gorgeous geek with pierced nipples  #NSF... [2049021043550105600].fhls-audio-128000-Audio.mp4.part,NSFWPornstars - Ball-draining blowjob from a gorgeous geek with pierced nipples  #NSF... [2049021043550105600].fhls-audio-128000-Audio.mp4.part,.part,2336405,2026-06-21T01:51:36.839Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/NSFWPornstars - Ball-draining blowjob from a gorgeous geek with pierced nipples  #NSF... [2049021043550105600].fhls-audio-128000-Audio.mp4.ytdl,NSFWPornstars - Ball-draining blowjob from a gorgeous geek with pierced nipples  #NSF... [2049021043550105600].fhls-audio-128000-Audio.mp4.ytdl,.ytdl,70,2026-06-21T01:51:36.852Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/Toni-milkies 🌺 - wataa [2049354709673390080].mp4,Toni-milkies 🌺 - wataa [2049354709673390080].mp4,.mp4,5674271,2026-06-21T01:50:40.461Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes,unsupported input
/mnt/spirit-8tb/media/tempTwitter/bunny ૮꒰ ˶• ༝ •˶꒱ა ♡ - Vids from your pervy girlfriend &gt;_&lt; 🍭🩷 [1979367287967645696].mp4,bunny ૮꒰ ˶• ༝ •˶꒱ა ♡ - Vids from your pervy girlfriend &gt;_&lt; 🍭🩷 [1979367287967645696].mp4,.mp4,15914286,2026-06-21T01:49:48.825Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/bunny ૮꒰ ˶• ༝ •˶꒱ა ♡ - being the messy girl that I am ^u^ [2050342046804959234].mp4,bunny ૮꒰ ˶• ༝ •˶꒱ა ♡ - being the messy girl that I am ^u^ [2050342046804959234].mp4,.mp4,25041395,2026-06-21T01:49:42.739Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/bunny ૮꒰ ˶• ༝ •˶꒱ა ♡ - playing with my spit and making bubbles on it 🫧😵‍💫😵‍💫 [2049294508660252672].mp4,bunny ૮꒰ ˶• ༝ •˶꒱ა ♡ - playing with my spit and making bubbles on it 🫧😵‍💫😵‍💫 [2049294508660252672].mp4,.mp4,45076778,2026-06-21T01:49:59.322Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/l u c i ⪩⪨ - creamy gf 💦 [2037628879548891136].mp4,l u c i ⪩⪨ - creamy gf 💦 [2037628879548891136].mp4,.mp4,3105836,2026-06-21T01:50:05.115Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/ᐢ. .ᐢ - clamped up ：P [2049862372257644544].mp4,ᐢ. .ᐢ - clamped up ：P [2049862372257644544].mp4,.mp4,568589,2026-06-21T01:50:06.988Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/ᐢ. .ᐢ - pokemon sv tour but with boobs… [2050606798907052033].mp4,ᐢ. .ᐢ - pokemon sv tour but with boobs… [2050606798907052033].mp4,.mp4,32542402,2026-06-21T01:50:17.089Z,yes,no,no,modified less than 120s ago
