path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough,reason
"/mnt/spirit-8tb/media/tempTwitter/Dr. Clown, PhD - So the Winter Olympians used up 10,000 condoms in three days. ngl, I ... [2022667652997746690].mp4","Dr. Clown, PhD - So the Winter Olympians used up 10,000 condoms in three days. ngl, I ... [2022667652997746690].mp4",.mp4,2248057,2026-06-21T03:12:58.257Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Dragon🐉 - Billie Eilish wants some fan service 🥵🥹 #BillieEilish [2022614571496935429].mp4,Dragon🐉 - Billie Eilish wants some fan service 🥵🥹 #BillieEilish [2022614571496935429].mp4,.mp4,1733494,2026-06-21T03:13:01.662Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Ema - big enough for you？ [2022415299946184704].mp4,Ema - big enough for you？ [2022415299946184704].mp4,.mp4,1122750,2026-06-21T03:13:10.105Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/HD FLIX - Watta 👅 [2018491723761262592].fhls-1145.mp4,HD FLIX - Watta 👅 [2018491723761262592].fhls-1145.mp4,.mp4,71711100,2026-06-21T03:13:38.601Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/HD FLIX - Watta 👅 [2018491723761262592].fhls-audio-128000-Audio.mp4.part,HD FLIX - Watta 👅 [2018491723761262592].fhls-audio-128000-Audio.mp4.part,.part,4817369,2026-06-21T03:13:47.682Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/HD FLIX - Watta 👅 [2018491723761262592].fhls-audio-128000-Audio.mp4.ytdl,HD FLIX - Watta 👅 [2018491723761262592].fhls-audio-128000-Audio.mp4.ytdl,.ytdl,71,2026-06-21T03:13:47.686Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/Kazimirol - https：⧸⧸t.co⧸AQfP8Euoja [1987394398842388480].mp4,Kazimirol - https：⧸⧸t.co⧸AQfP8Euoja [1987394398842388480].mp4,.mp4,192058772,2026-06-21T03:12:19.794Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/SNEAKO Defends EDP445 on JiDion Stream #shorts [sFlDc4Mq1N4].webm,SNEAKO Defends EDP445 on JiDion Stream #shorts [sFlDc4Mq1N4].webm,.webm,5189934,2026-06-21T03:11:02.282Z,no,no,yes,unsupported input
/mnt/spirit-8tb/media/tempTwitter/Subby Gooner - so sensitive even the fabric doesn’t gel to delay 🤭 [2021698359522938880].mp4,Subby Gooner - so sensitive even the fabric doesn’t gel to delay 🤭 [2021698359522938880].mp4,.mp4,2226938,2026-06-21T03:13:13.544Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes,unsupported input
/mnt/spirit-8tb/media/tempTwitter/⛧ BJ Addict ⛧ - https：⧸⧸t.co⧸mr6PszwyB9 [2004183612753670145].mp4,⛧ BJ Addict ⛧ - https：⧸⧸t.co⧸mr6PszwyB9 [2004183612753670145].mp4,.mp4,5468128,2026-06-21T03:13:05.383Z,yes,no,no,modified less than 120s ago
