path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough,reason
/mnt/spirit-8tb/media/tempTwitter/SNEAKO Defends EDP445 on JiDion Stream #shorts [sFlDc4Mq1N4].webm,SNEAKO Defends EDP445 on JiDion Stream #shorts [sFlDc4Mq1N4].webm,.webm,5189934,2026-06-21T03:11:02.282Z,no,no,yes,unsupported input
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes,unsupported input
/mnt/spirit-8tb/media/tempTwitter/Cum Bunny - https：⧸⧸t.co⧸Q6MeGhwlO4 [2004183612753670145].mp4,Cum Bunny - https：⧸⧸t.co⧸Q6MeGhwlO4 [2004183612753670145].mp4,.mp4,5468128,2026-06-21T03:25:32.700Z,yes,no,yes,tweet id already exists in library: 2004183612753670145
/mnt/spirit-8tb/media/tempTwitter/Sarah Shaye ♡ - Correct me if I'm wrong but your face belongs in between my cheeks [1996128216981860352].mp4,Sarah Shaye ♡ - Correct me if I'm wrong but your face belongs in between my cheeks [1996128216981860352].mp4,.mp4,17899606,2026-06-21T03:22:18.379Z,yes,no,yes,tweet id already exists in library: 1996128216981860352
